Model,Fiyat_TL,RAM,Islemci,Isletim_Sistemi,Depolama,Ekran_Boyutu
DELL XPS 13 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) XPS 13 9320 Thin and Light Laptop,81895,32 GB DDR5 RAM,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 inch) Display
GIGABYTE AERO 5 XE4 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RT...,81475,64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
HP 15s Intel Core i9 11th Gen - (32 GB/1 TB SSD/Windows 11 Pro/6 GB Graphics) 15-ep1087TX Laptop,81018,32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 inch) Display
ASUS ROG Zephyrus G15 (2022) Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/...,80635,32 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,2 TB SSD,40.64 cm (16 inch) Display
ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,79795,32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
ALIENWARE Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 T...,79165,32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB HDD|1 TB SSD,40.64 cm (16 Inch) Display
HP Omen Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) 1...,78721,16 GB LPDDR5 RAM,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display
MSI Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics) Stealth 15 A13VF-074IN Laptop,78535,32 GB DDR4 RAM,Intel Core i9 Processor (10th Gen),64 bit Windows 10 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
HP OMEN Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) 16...,78368,32 GB DDR4 RAM,Intel Core i9 Processor (11th Gen),64 bit Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
HP Spectre x360 (2023) OLED Eyesafe Intel Evo Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/4 GB ...,78115,32 GB Unified Memory RAM,Apple M2 Max Processor,Mac OS Operating System,1 TB SSD,43.18 cm (17 Inch) Display
